# HB Z M OV QHEL tau_He tau_H fname
1 0.0005 0.800 0.30 0.617 8.977e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.80.PMS.HB
0 0.0005 0.850 0.00 0.579 9.688e+05 9.336e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.85.PMS
1 0.0005 0.850 0.30 0.579 8.912e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.85.PMS.HB
0 0.0005 0.900 0.00 0.545 9.896e+05 7.63e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.90.PMS
1 0.0005 0.900 0.30 0.545 8.808e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.90.PMS.HB
0 0.0005 0.950 0.00 0.515 1.017e+06 6.309e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.95.PMS
1 0.0005 0.950 0.30 0.515 8.959e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.95.PMS.HB
0 0.0005 1.000 0.00 0.488 1.005e+06 5.267e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.00.PMS
1 0.0005 1.000 0.30 0.488 8.797e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.00.PMS.HB
0 0.0005 1.050 0.05 0.464 1.027e+06 4.436e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.05.PMS
1 0.0005 1.050 0.30 0.464 8.844e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.05.PMS.HB
0 0.0005 1.100 0.10 0.442 1.039e+06 3.786e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.10.PMS
1 0.0005 1.100 0.30 0.442 8.891e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.10.PMS.HB
0 0.0005 1.150 0.15 0.422 1.024e+06 3.259e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.15.PMS
1 0.0005 1.150 0.30 0.422 8.731e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.15.PMS.HB
0 0.0005 1.200 0.20 0.405 1.023e+06 2.823e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.20.PMS
1 0.0005 1.200 0.30 0.405 8.698e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.20.PMS.HB
0 0.0005 1.250 0.25 0.389 1.018e+06 2.471e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.25.PMS
1 0.0005 1.250 0.30 0.389 8.598e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.25.PMS.HB
0 0.0005 1.300 0.30 0.373 1.018e+06 2.219e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.30.PMS
1 0.0005 1.300 0.30 0.373 8.591e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.30.PMS.HB
0 0.0005 1.350 0.30 0.359 1.027e+06 1.974e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.35.PMS
1 0.0005 1.350 0.30 0.359 8.591e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.35.PMS.HB
0 0.0005 1.400 0.30 0.345 1.054e+06 1.767e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.40.PMS
1 0.0005 1.400 0.30 0.345 8.452e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.40.PMS.HB
0 0.0005 1.450 0.30 0.333 1.05e+06 1.592e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.45.PMS
1 0.0005 1.450 0.30 0.333 8.408e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.45.PMS.HB
0 0.0005 1.500 0.30 0.321 1.106e+06 1.443e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.50.PMS
1 0.0005 1.500 0.30 0.321 8.395e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.50.PMS.HB
0 0.0005 1.550 0.30 0.309 1.136e+06 1.316e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.55.PMS
1 0.0005 1.550 0.30 0.309 8.325e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.55.PMS.HB
0 0.0005 1.600 0.30 0.297 1.158e+06 1.203e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.60.PMS
1 0.0005 1.600 0.30 0.297 8.462e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.60.PMS.HB
0 0.0005 1.650 0.30 0.285 1.236e+06 1.104e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.65.PMS
1 0.0005 1.650 0.30 0.285 8.58e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.65.PMS.HB
0 0.0005 1.700 0.30 0.273 1.334e+06 1.017e+09 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.70.PMS
1 0.0005 1.700 0.30 0.273 8.834e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.70.PMS.HB
0 0.0005 1.750 0.30 0.258 1.488e+06 9.388e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.75.PMS
1 0.0005 1.750 0.30 0.258 9.332e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.75.PMS.HB
0 0.0005 1.800 0.30 0.240 2.021e+06 8.698e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.80.PMS
1 0.0005 1.800 0.30 0.244 9.792e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.80.PMS.HB
0 0.0005 1.850 0.30 0.307 1.523e+08 8.071e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.85.PMS
1 0.0005 1.850 0.30 0.244 8.986e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.85.PMS.HB
0 0.0005 1.900 0.30 0.303 1.631e+08 7.518e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.90.PMS
0 0.0005 1.950 0.30 0.299 1.569e+08 7.027e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M1.95.PMS
0 0.0005 10.000 0.30 0.302 2.479e+06 2.263e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M10.0.PMS
0 0.0005 11.000 0.30 0.297 2.017e+06 1.949e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M11.0.PMS
0 0.0005 12.000 0.30 0.294 1.738e+06 1.707e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M12.0.PMS
0 0.0005 14.000 0.30 0.314 1.663e+06 1.376e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M14.0.PMS
0 0.0005 16.000 0.30 0.320 1.211e+06 1.159e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M16.0.PMS
0 0.0005 18.000 0.30 0.329 8.735e+05 1.007e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M18.0.PMS
0 0.0005 2.000 0.30 0.300 1.477e+08 6.586e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.00.PMS
0 0.0005 2.050 0.30 0.298 1.378e+08 6.074e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.05.PMS
0 0.0005 2.100 0.30 0.294 1.282e+08 5.7e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.10.PMS
0 0.0005 2.150 0.30 0.292 1.186e+08 5.37e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.15.PMS
0 0.0005 2.200 0.30 0.290 1.091e+08 5.071e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.20.PMS
0 0.0005 2.250 0.30 0.290 1.022e+08 4.79e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.25.PMS
0 0.0005 2.300 0.30 0.288 9.527e+07 4.529e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.30.PMS
0 0.0005 2.350 0.30 0.287 8.858e+07 4.3e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.35.PMS
0 0.0005 2.400 0.30 0.284 8.256e+07 4.082e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.40.PMS
0 0.0005 2.600 0.30 0.281 6.396e+07 3.358e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.60.PMS
0 0.0005 2.800 0.30 0.274 5.131e+07 2.82e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M2.80.PMS
0 0.0005 20.000 0.30 0.336 7.304e+05 8.957e+06 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M20.0.PMS
0 0.0005 3.000 0.30 0.260 4.192e+07 2.401e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M3.00.PMS
0 0.0005 3.200 0.30 0.247 3.477e+07 2.072e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M3.20.PMS
