# HB Z M OV QHEL tau_He tau_H fname
0 0.01 0.100 0.00 0.000 0 3.022e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.10.PMS
0 0.01 0.120 0.00 0.000 0 2.996e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.12.PMS
0 0.01 0.140 0.00 0.000 0 3.018e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.14.PMS
0 0.01 0.160 0.00 0.000 0 2.987e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.16.PMS
0 0.01 0.200 0.00 0.000 0 3.012e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.20.PMS
0 0.01 0.250 0.00 0.000 0 2.981e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.25.PMS
0 0.01 0.300 0.00 0.000 0 2.985e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.30.PMS
0 0.01 0.350 0.00 0.000 0 2.995e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.35.PMS
0 0.01 0.400 0.00 0.000 0 3.012e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.40.PMS
0 0.01 0.450 0.00 0.000 0 3.005e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.45.PMS
1 0.01 0.479 0.30 0.997 1.389e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.479.PMS.HB
1 0.01 0.480 0.30 0.995 1.385e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.480.PMS.HB
1 0.01 0.485 0.30 0.985 1.359e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.485.PMS.HB
1 0.01 0.490 0.30 0.975 1.336e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.490.PMS.HB
1 0.01 0.495 0.30 0.965 1.306e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.495.PMS.HB
0 0.01 0.500 0.00 0.000 0 3.008e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.50.PMS
1 0.01 0.500 0.30 0.955 1.298e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.500.PMS.HB
1 0.01 0.505 0.30 0.946 1.29e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.505.PMS.HB
1 0.01 0.510 0.30 0.936 1.276e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.510.PMS.HB
1 0.01 0.515 0.30 0.927 1.274e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.515.PMS.HB
1 0.01 0.520 0.30 0.918 1.26e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.520.PMS.HB
1 0.01 0.525 0.30 0.910 1.251e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.525.PMS.HB
1 0.01 0.530 0.30 0.901 1.241e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.530.PMS.HB
1 0.01 0.540 0.30 0.884 1.216e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.540.PMS.HB
0 0.01 0.550 0.00 0.000 0 3.012e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.55.PMS
1 0.01 0.550 0.30 0.868 1.209e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.550.PMS.HB
1 0.01 0.560 0.30 0.853 1.196e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.560.PMS.HB
1 0.01 0.570 0.30 0.838 1.168e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.570.PMS.HB
1 0.01 0.580 0.30 0.823 1.151e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.580.PMS.HB
1 0.01 0.590 0.30 0.809 1.147e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.590.PMS.HB
0 0.01 0.600 0.00 0.000 0 3.008e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.60.PMS
1 0.01 0.600 0.30 0.796 1.161e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.60.PMS.HB
1 0.01 0.620 0.30 0.770 1.131e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.62.PMS.HB
1 0.01 0.640 0.30 0.746 1.125e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.64.PMS.HB
0 0.01 0.650 0.00 0.000 0 3.012e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.65.PMS
1 0.01 0.660 0.30 0.724 1.127e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.66.PMS.HB
1 0.01 0.680 0.30 0.702 1.129e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.68.PMS.HB
0 0.01 0.700 0.00 0.000 0 3.008e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.70.PMS
1 0.01 0.700 0.30 0.682 1.111e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.70.PMS.HB
1 0.01 0.720 0.30 0.663 1.126e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.72.PMS.HB
0 0.01 0.750 0.00 0.641 9.753e+05 2.408e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.75.PMS
1 0.01 0.750 0.30 0.637 1.118e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.75.PMS.HB
1 0.01 0.760 0.30 0.628 1.111e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.76.PMS.HB
1 0.01 0.780 0.30 0.612 1.097e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.78.PMS.HB
0 0.01 0.800 0.00 0.600 1.003e+06 1.919e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.80.PMS
1 0.01 0.800 0.30 0.597 1.104e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.80.PMS.HB
0 0.01 0.850 0.00 0.563 9.716e+05 1.54e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.85.PMS
1 0.01 0.850 0.30 0.562 1.088e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.85.PMS.HB
0 0.01 0.900 0.00 0.531 9.584e+05 1.246e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.90.PMS
1 0.01 0.900 0.30 0.530 1.1e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.90.PMS.HB
0 0.01 0.950 0.00 0.502 9.493e+05 1.017e+10 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.95.PMS
1 0.01 0.950 0.30 0.502 1.093e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M.95.PMS.HB
0 0.01 1.000 0.00 0.476 9.546e+05 8.35e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.00.PMS
1 0.01 1.000 0.30 0.476 1.091e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.00.PMS.HB
0 0.01 1.050 0.00 0.453 9.483e+05 6.904e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.05.PMS
1 0.01 1.050 0.30 0.453 1.078e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.05.PMS.HB
0 0.01 1.100 0.00 0.432 9.21e+05 5.742e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.10.PMS
1 0.01 1.100 0.30 0.432 1.081e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.10.PMS.HB
0 0.01 1.150 0.00 0.413 9.77e+05 4.857e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.15.PMS
1 0.01 1.150 0.30 0.413 1.081e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.15.PMS.HB
0 0.01 1.200 0.05 0.396 9.264e+05 4.119e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.20.PMS
1 0.01 1.200 0.30 0.396 1.078e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.20.PMS.HB
0 0.01 1.250 0.10 0.380 9.152e+05 3.555e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.25.PMS
1 0.01 1.250 0.30 0.380 1.065e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.25.PMS.HB
0 0.01 1.300 0.15 0.365 9.261e+05 3.147e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.30.PMS
1 0.01 1.300 0.30 0.365 1.062e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.30.PMS.HB
0 0.01 1.350 0.20 0.352 9.168e+05 2.85e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.35.PMS
1 0.01 1.350 0.30 0.352 1.062e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.35.PMS.HB
0 0.01 1.400 0.25 0.339 9.819e+05 2.628e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.40.PMS
1 0.01 1.400 0.30 0.339 1.06e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.40.PMS.HB
0 0.01 1.450 0.30 0.327 9.363e+05 2.432e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.45.PMS
1 0.01 1.450 0.30 0.327 1.065e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.45.PMS.HB
0 0.01 1.500 0.30 0.316 9.499e+05 2.193e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.50.PMS
1 0.01 1.500 0.30 0.316 1.065e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.50.PMS.HB
0 0.01 1.550 0.30 0.305 9.11e+05 1.994e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.55.PMS
1 0.01 1.550 0.30 0.305 1.066e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.55.PMS.HB
0 0.01 1.600 0.30 0.294 9.092e+05 1.815e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.60.PMS
1 0.01 1.600 0.30 0.294 1.091e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.60.PMS.HB
0 0.01 1.650 0.30 0.283 1.147e+06 1.664e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.65.PMS
1 0.01 1.650 0.30 0.283 1.102e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.65.PMS.HB
0 0.01 1.700 0.30 0.272 2.326e+06 1.53e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.70.PMS
1 0.01 1.700 0.30 0.272 1.132e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.70.PMS.HB
0 0.01 1.750 0.30 0.262 2.402e+06 1.408e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.75.PMS
1 0.01 1.750 0.30 0.261 1.171e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.75.PMS.HB
0 0.01 1.800 0.30 0.251 2.649e+06 1.299e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.80.PMS
1 0.01 1.800 0.30 0.251 1.211e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.80.PMS.HB
0 0.01 1.850 0.30 0.240 1.217e+06 1.204e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.85.PMS
1 0.01 1.850 0.30 0.240 1.278e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.85.PMS.HB
0 0.01 1.900 0.30 0.229 1.294e+06 1.117e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.90.PMS
1 0.01 1.900 0.30 0.229 1.352e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.90.PMS.HB
0 0.01 1.950 0.30 0.217 1.449e+06 1.038e+09 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.95.PMS
1 0.01 1.950 0.30 0.217 1.45e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M1.95.PMS.HB
0 0.01 10.000 0.30 0.274 2.744e+06 2.282e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M10.0.PMS
0 0.01 12.000 0.30 0.286 1.918e+06 1.689e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M12.0.PMS
0 0.01 14.000 0.30 0.325 1.639e+06 1.347e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M14.0.PMS
0 0.01 16.000 0.30 0.334 1.25e+06 1.129e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M16.0.PMS
0 0.01 18.000 0.30 0.352 9.229e+05 9.754e+06 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M18.0.PMS
0 0.01 2.000 0.30 0.204 4.245e+06 9.722e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.00.PMS
1 0.01 2.000 0.30 0.204 1.611e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.00.PMS.HB
0 0.01 2.050 0.30 0.235 2.943e+08 8.934e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.05.PMS
1 0.01 2.050 0.30 0.199 1.592e+08 0 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.05.PMS.HB
0 0.01 2.100 0.30 0.231 2.83e+08 8.357e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.10.PMS
0 0.01 2.150 0.30 0.228 2.704e+08 7.837e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.15.PMS
0 0.01 2.200 0.30 0.225 2.576e+08 7.364e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.20.PMS
0 0.01 2.250 0.30 0.221 2.441e+08 6.919e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.25.PMS
0 0.01 2.300 0.30 0.219 2.318e+08 6.513e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.30.PMS
0 0.01 2.350 0.30 0.216 2.162e+08 6.148e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.35.PMS
0 0.01 2.400 0.30 0.215 2.037e+08 5.812e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.40.PMS
0 0.01 2.600 0.30 0.210 1.559e+08 4.692e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.60.PMS
0 0.01 2.800 0.30 0.208 1.181e+08 3.856e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M2.80.PMS
0 0.01 20.000 0.30 0.379 7.624e+05 8.662e+06 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M20.0.PMS
0 0.01 3.000 0.30 0.211 9.061e+07 3.222e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M3.00.PMS
0 0.01 3.200 0.30 0.209 6.901e+07 2.728e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M3.20.PMS
0 0.01 3.400 0.30 0.213 5.427e+07 2.337e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M3.40.PMS
0 0.01 3.600 0.30 0.211 4.336e+07 2.023e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M3.60.PMS
0 0.01 3.800 0.30 0.202 3.517e+07 1.769e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M3.80.PMS
0 0.01 4.000 0.30 0.195 2.917e+07 1.561e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M4.00.PMS
0 0.01 4.200 0.30 0.188 2.467e+07 1.386e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M4.20.PMS
0 0.01 4.400 0.30 0.182 2.123e+07 1.24e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M4.40.PMS
0 0.01 4.600 0.30 0.177 1.845e+07 1.116e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M4.60.PMS
0 0.01 4.800 0.30 0.172 1.612e+07 1.012e+08 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M4.80.PMS
0 0.01 5.000 0.30 0.168 1.422e+07 9.242e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M5.00.PMS
0 0.01 5.200 0.30 0.164 1.269e+07 8.45e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M5.20.PMS
0 0.01 5.400 0.30 0.161 1.131e+07 7.758e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M5.40.PMS
0 0.01 5.600 0.30 0.159 1.013e+07 7.153e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M5.60.PMS
0 0.01 5.800 0.30 0.157 9.277e+06 6.619e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M5.80.PMS
0 0.01 6.000 0.30 0.154 8.346e+06 6.17e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M6.00.PMS
0 0.01 6.200 0.30 0.151 7.493e+06 5.748e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M6.20.PMS
0 0.01 6.400 0.30 0.150 6.877e+06 5.371e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M6.40.PMS
0 0.01 7.000 0.30 0.155 5.395e+06 4.443e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M7.00.PMS
0 0.01 8.000 0.30 0.255 3.806e+06 3.417e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M8.00.PMS
0 0.01 9.000 0.30 0.260 3.424e+06 2.745e+07 OV0.3_Z0.01_Y0.267/Z0.01Y0.267OUTA1.74_F7_M9.00.PMS
0 0.0005 0.100 0.00 0.000 0 2.975e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.10.PMS
0 0.0005 0.120 0.00 0.000 0 3.006e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.12.PMS
0 0.0005 0.140 0.00 0.000 0 3.013e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.14.PMS
0 0.0005 0.160 0.00 0.000 0 2.996e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.16.PMS
0 0.0005 0.200 0.00 0.000 0 2.97e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.20.PMS
0 0.0005 0.250 0.00 0.000 0 2.991e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.25.PMS
0 0.0005 0.300 0.00 0.000 0 2.982e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.30.PMS
0 0.0005 0.350 0.00 0.000 0 3.011e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.35.PMS
0 0.0005 0.450 0.00 0.000 0 3.01e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.45.PMS
1 0.0005 0.495 0.40 0.998 1.203e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.495.PMS.HB
0 0.0005 0.500 0.00 0.000 0 3.009e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.50.PMS
1 0.0005 0.500 0.40 0.988 1.179e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.500.PMS.HB
1 0.0005 0.505 0.40 0.978 1.153e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.505.PMS.HB
1 0.0005 0.510 0.40 0.969 1.125e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.510.PMS.HB
1 0.0005 0.515 0.40 0.959 1.095e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.515.PMS.HB
1 0.0005 0.520 0.40 0.950 1.064e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.520.PMS.HB
1 0.0005 0.525 0.40 0.941 1.035e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.525.PMS.HB
1 0.0005 0.530 0.40 0.932 1.021e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.530.PMS.HB
1 0.0005 0.540 0.40 0.915 1.069e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.540.PMS.HB
0 0.0005 0.550 0.00 0.000 0 3.011e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.55.PMS
1 0.0005 0.550 0.40 0.898 9.426e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.550.PMS.HB
1 0.0005 0.560 0.40 0.882 1.051e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.560.PMS.HB
1 0.0005 0.570 0.40 0.867 1.025e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.570.PMS.HB
1 0.0005 0.580 0.40 0.852 1.022e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.580.PMS.HB
1 0.0005 0.590 0.40 0.837 1.018e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.590.PMS.HB
0 0.0005 0.600 0.00 0.000 0 3.011e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.60.PMS
1 0.0005 0.600 0.40 0.823 1.006e+08 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.60.PMS.HB
1 0.0005 0.620 0.40 0.797 9.944e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.62.PMS.HB
0 0.0005 0.650 0.00 0.767 9.644e+05 2.388e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.65.PMS
1 0.0005 0.650 0.40 0.760 9.703e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.65.PMS.HB
1 0.0005 0.660 0.40 0.748 9.687e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.66.PMS.HB
1 0.0005 0.680 0.40 0.726 9.62e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.68.PMS.HB
0 0.0005 0.700 0.00 0.709 9.85e+05 1.846e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.70.PMS
1 0.0005 0.700 0.40 0.705 9.436e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.70.PMS.HB
1 0.0005 0.720 0.40 0.686 9.386e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.72.PMS.HB
0 0.0005 0.750 0.00 0.660 9.604e+05 1.448e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.75.PMS
1 0.0005 0.750 0.40 0.659 9.092e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.75.PMS.HB
1 0.0005 0.760 0.40 0.650 9.222e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.76.PMS.HB
1 0.0005 0.780 0.40 0.633 9.161e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.78.PMS.HB
0 0.0005 0.800 0.00 0.617 9.841e+05 1.157e+10 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.80.PMS
1 0.0005 0.800 0.40 0.617 8.966e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.80.PMS.HB
0 0.0005 0.850 0.00 0.579 9.912e+05 9.336e+09 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.85.PMS
1 0.0005 0.850 0.40 0.579 9.156e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.85.PMS.HB
0 0.0005 0.900 0.00 0.545 9.888e+05 7.63e+09 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.90.PMS
1 0.0005 0.900 0.40 0.546 8.894e+07 0 OV0.4_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.90.PMS.HB
